#{"t_start": 1695760609.580446, "env_id": null}
r,l,t
7.843137,54,2.819639
7.058824,56,3.873769
8.627451,60,5.19226
6.666667,60,6.48969
5.294118,52,7.649883
8.431373,53,8.807546
7.647059,65,10.322053
7.058824,56,11.598758
9.215687,68,13.167136
4.509804,42,14.106709
7.450981,64,15.521398
9.803922,65,16.96145
7.450981,49,18.107848
8.431373,65,19.574229
6.470589,62,20.952202
7.254902,58,22.235985
9.215687,63,23.692594
7.450981,64,54.98813
8.039216,56,55.96976
7.843137,63,57.104571
8.627451,59,58.207577
7.647059,66,59.498801
9.215687,60,60.702764
9.803922,65,62.180669
9.215687,58,63.619759
7.450981,63,65.097905
8.039216,67,66.71059
8.235294,66,68.186813
8.039216,54,69.382294
9.803922,65,70.917249
8.039216,56,72.174839
9.803922,64,73.760267
8.627451,55,74.954711
7.254902,55,105.882098
7.254902,60,106.902422
7.058824,56,107.95023
6.27451,58,109.022875
8.431373,58,110.125791
9.411765,59,111.415179
9.607843,62,112.839137
7.647059,61,114.347975
9.019608,70,116.030313
9.019608,63,117.543556
7.647059,53,118.740557
4.117647,38,119.650873
7.058824,52,120.811824
9.803922,65,122.24709
8.823529,63,123.710434
7.450981,63,125.170914
9.019608,60,126.52416
8.823529,67,157.488839
9.019608,67,158.66397
8.627451,59,159.737037
8.627451,62,160.938569
7.450981,63,162.20237
7.450981,54,163.450648
8.823529,66,164.956728
8.039216,55,166.237661
7.450981,53,167.502289
7.647059,60,168.867512
9.215687,62,170.303872
9.411765,70,171.860535
8.823529,69,173.436935
8.235294,66,174.897837
8.235294,65,176.349708
6.862745,59,177.740004
6.862745,59,208.921588
9.607843,69,210.086152
6.666667,59,211.18443
9.019608,68,212.441265
7.647059,54,213.61424
6.470589,50,214.767869
9.215687,70,216.381511
6.470589,49,217.503743
9.803922,65,219.005681
6.078432,50,220.187106
7.450981,57,221.483667
5.490196,52,222.689214
8.235294,60,224.034649
6.470589,58,225.357824
7.058824,55,226.56988
6.078432,55,227.856146
7.843137,54,229.030423
6.666667,56,259.991092
9.215687,71,261.268693
7.450981,64,262.469555
9.607843,61,263.84695
9.803922,65,265.272284
7.254902,63,266.621461
8.235294,56,267.848867
6.27451,56,269.12293
9.019608,60,270.520371
8.627451,66,272.02435
9.019608,63,273.501575
8.235294,58,274.844104
8.823529,67,276.436704
7.647059,55,277.792091
9.215687,70,279.535156
7.843137,57,280.819655
8.039216,54,282.103686
6.078432,49,313.387355
9.803922,62,314.568418
7.254902,60,315.810913
8.627451,65,317.167809
8.823529,66,318.536362
6.666667,59,319.848902
7.254902,63,321.447811
9.019608,63,323.009252
8.823529,68,324.699565
6.078432,58,326.101358
9.803922,65,327.530315
8.039216,66,329.006158
7.647059,63,330.455284
8.039216,68,332.006676
6.470589,53,333.212298
9.411765,61,334.692155
7.647059,62,366.155223
9.019608,71,367.394404
9.019608,70,368.659175
6.666667,55,369.720589
